mc	mn	onset	label
1	0	15/16	.a.V
2	1	0	i[i
2	1	1/4	VI
2	1	3/8	i
2	1	1/2	iio64
2	1	5/8	iio6-iv
2	1	3/4	#viio65
2	1	7/8	V65
3	2	0	i]
3	2	3/16	V
3	2	1/4	i
3	2	1/2	ii%65
3	2	5/8	V
3	2	3/4	#viio7
4	3	0	i6(2)
4	3	1/8	i
4	3	1/4	V65/iv
4	3	1/2	iv
4	3	5/8	iv64
4	3	3/4	V/VII
4	3	15/16	viio64/VII
5	4	0	VII6
5	4	1/8	VII
5	4	1/4	V65/III
5	4	1/2	III
5	4	3/4	i6
6	5	0	V2/VII
6	5	1/4	#viio6
6	5	1/2	#viio
6	5	3/4	iio6
7	6	0	i6(1162)
7	6	1/4	i6
7	6	3/8	i
7	6	1/2	v
8	7	0	iv7(9)/v
8	7	1/4	#viio7/v
8	7	1/2	v6(112)
8	7	3/4	v6
8	7	7/8	v
9	8	0	iio/v
9	8	1/4	V7/v
9	8	1/2	v
9	8	7/8	v64
10	9	0	i
10	9	1/4	i6
10	9	7/16	i
10	9	1/2	ii[V7/v
10	9	3/4	v6
11	10	0	iio6/ii
11	10	1/4	#viio65/ii]
11	10	1/2	V/v
11	10	5/8	V2/v
11	10	3/4	v6
12	11	0	iv6/v
12	11	1/4	iio6/v
12	11	1/2	#viio/v
12	11	5/8	v
12	11	3/4	V/V
13	12	0	V[V7
13	12	1/4	i
13	12	5/16	V64
13	12	3/8	i6
13	12	7/16	viio7/V
13	12	1/2	V]\\
14	12	15/16	V/V
15	13	0	V
15	13	1/4	#viio7
15	13	3/8	i
15	13	1/2	V64
15	13	5/8	i
15	13	3/4	#viio
15	13	7/8	V
16	14	0	V/iv
16	14	1/4	#viio43/iv
16	14	1/2	V7/iv
16	14	3/4	iio6/iv
17	15	0	V65/VII
17	15	1/4	VII
17	15	3/8	ii/VII-viio6/VII
17	15	1/2	VII6
17	15	11/16	IV/VII
17	15	3/4	V(4)/VII
17	15	7/8	V7/VII
18	16	0	VII
18	16	1/4	vii%7/III
18	16	3/8	III
18	16	1/2	V64/III
18	16	5/8	III
18	16	3/4	viio/III
19	17	0	V6
19	17	1/4	#viio7
19	17	3/8	ii64
19	17	1/2	V
19	17	5/8	V2
19	17	3/4	i6(112)
19	17	7/8	V64
20	18	0	V/iv
20	18	1/4	iv6/iv
20	18	7/16	iio6/iv
20	18	1/2	V7/iv
20	18	5/8	iv7/iv
20	18	3/4	V/iv
21	19	0	iv
21	19	3/8	iv6
21	19	1/2	V7/III
21	19	5/8	viio/III
21	19	3/4	III
21	19	7/8	III6
22	20	0	VIM7
22	20	1/4	iio
22	20	3/8	iio6
22	20	1/2	V7
22	20	5/8	#viio
22	20	3/4	i
22	20	7/8	i6
23	21	0	iv7
23	21	1/4	iv6
23	21	3/8	V
23	21	7/16	iv
23	21	1/2	V7
23	21	5/8	VI
23	21	11/16	V
23	21	3/4	i
23	21	13/16	iio6
23	21	7/8	i64
23	21	15/16	VI
24	22	0	#viio
24	22	1/8	V64
24	22	1/4	i6
24	22	3/8	i64
24	22	1/2	VIM7
24	22	3/4	iv
24	22	7/8	iv6
25	23	0	ii%7
25	23	1/8	iio6
25	23	1/4	#viio
25	23	3/8	iio
25	23	1/2	i6(11#72)
25	23	5/8	i6
25	23	11/16	iio6
25	23	3/4	V(64)
25	23	7/8	V
26	24	0	I[V7/iv
26	24	1/4	iv
26	24	5/16	V64/iv
26	24	3/8	iv6
26	24	7/16	#viio7
26	24	1/2	I]\\
