mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0.5	0	1/4	3/8	2	1	E.I[I6{	E	I	I	I6	I		6				{	M	0	0	4, 1, 0		0	4
2	1	1/2	0.5	0	0	3/8	2	1	I64	E	I	I	I64	I		64					M	0	0	1, 0, 4		0	1
2	1	1	0.5	1/8	1/8	3/8	2	1	IV	E	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
2	1	3/2	0.5	1/4	1/4	3/8	2	1	I6	E	I	I	I6	I		6					M	0	0	4, 1, 0		0	4
3	2	2	0.5	0	0	3/8	2	1	viio64	E	I	I	viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
3	2	5/2	1.0	1/8	1/8	3/8	2	1	I6	E	I	I	I6	I		6					M	0	0	4, 1, 0		0	4
4	3	7/2	0.5	0	0	3/8	2	1	IV	E	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
4	3	4	0.5	1/8	1/8	3/8	2	1	I6]	E	I	I	I6	I		6					M	0	0	4, 1, 0		0	4
4	3	9/2	0.5	1/4	1/4	3/8	2	1	viio	E	I		viio	vii	o						o	0	0	5, 2, -1		5	5
5	4	5	1.0	0	0	3/8	2	1	I[I|IAC}	E	I	I	I	I					IAC	}	M	0	0	0, 4, 1		0	0
5	4	6	0.5	1/4	1/4	3/8	2	1	I6{	E	I	I	I6	I		6				{	M	0	0	4, 1, 0		0	4
6	5	13/2	0.5	0	0	3/8	2	1	I64	E	I	I	I64	I		64					M	0	0	1, 0, 4		0	1
6	5	7	0.5	1/8	1/8	3/8	2	1	IV	E	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
6	5	15/2	0.5	1/4	1/4	3/8	2	1	I6	E	I	I	I6	I		6					M	0	0	4, 1, 0		0	4
7	6	8	0.5	0	0	3/8	2	1	viio64	E	I	I	viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
7	6	17/2	1.0	1/8	1/8	3/8	2	1	I6]	E	I	I	I6	I		6					M	0	0	4, 1, 0		0	4
8	7	19/2	0.5	0	0	3/8	2	1	IV	E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
8	7	10	0.5	1/8	1/8	3/8	2	1	V(64)	E	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
8	7	21/2	0.5	1/4	1/4	3/8	2	1	V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	11	0.5	0	0	3/8	2	1	I|IAC}	E	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
9	8	23/2	0.5	1/8	1/8	3/8	2	1	I64	E	I		I64	I		64					M	0	0	1, 0, 4		0	1
10	8	12	0.5	0	1/4	3/8	2	1	I{	E	I		I	I						{	M	0	0	0, 4, 1		0	0
11	9	25/2	0.5	0	0	3/8	2	1	V6	E	I		V6	V		6					M	0	0	5, 2, 1		1	5
11	9	13	0.5	1/8	1/8	3/8	2	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
11	9	27/2	0.5	1/4	1/4	3/8	2	1	V64	E	I		V64	V		64					M	0	0	2, 1, 5		1	2
12	10	14	0.25	0	0	3/8	2	1	I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
12	10	57/4	0.25	1/16	1/16	3/8	2	1	ii43/V	E	I		ii43/V	ii		43		V			mm7	0	0	4, 1, 3, 0		3	4
12	10	29/2	0.5	1/8	1/8	3/8	2	1	V6/V	E	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
12	10	15	0.5	1/4	1/4	3/8	2	1	V7/V	E	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
13	11	31/2	0.5	0	0	3/8	2	1	I/V	E	I		I/V	I				V			M	0	0	1, 5, 2		1	1
13	11	16	0.5	1/8	1/8	3/8	2	1	viio(+2)/V	E	I		viio(+2)/V	vii	o		+2	V			o	0	0	6, 3, 0	1	6	6
13	11	33/2	0.5	1/4	1/4	3/8	2	1	IV6/V	E	I		IV6/V	IV		6		V			M	0	0	4, 1, 0		0	4
14	12	17	2.0	0	0	3/8	2	1	V/V|HC}{	E	I		V/V	V				V	HC	}{	M	0	0	2, 6, 3		2	2
15	13	19	0.5	1/8	1/8	3/8	2	1	ii64(+4)/V	E	I		ii64(+4)/V	ii		64	+4	V			m	0	0	4, 3, 0	2	3	4
15	13	39/2	0.5	1/4	1/4	3/8	2	1	vii%43/V	E	I		vii%43/V	vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
16	14	20	0.5	0	0	3/8	2	1	V6	E	I		V6	V		6					M	0	0	5, 2, 1		1	5
16	14	41/2	0.25	1/8	1/8	3/8	2	1	IV6/V	E	I		IV6/V	IV		6		V			M	0	0	4, 1, 0		0	4
16	14	83/4	0.25	3/16	3/16	3/8	2	1	V64	E	I		V64	V		64					M	0	0	2, 1, 5		1	2
16	14	21	0.25	1/4	1/4	3/8	2	1	ii65/V	E	I		ii65/V	ii		65		V			mm7	0	0	0, 4, 1, 3		3	0
16	14	85/4	0.25	5/16	5/16	3/8	2	1	V6	E	I		V6	V		6					M	0	0	5, 2, 1		1	5
17	15	43/2	0.25	0	0	3/8	2	1	ii7/V	E	I		ii7/V	ii		7		V			mm7	0	0	3, 0, 4, 1		3	3
17	15	87/4	0.25	1/16	1/16	3/8	2	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
17	15	22	1.0	1/8	1/8	3/8	2	1	V/V	E	I		V/V	V				V			M	0	0	2, 6, 3		2	2
18	16	23	1.0	0	0	3/8	2	1	I/V|PAC}	E	I		I/V	I				V	PAC	}	M	0	0	1, 5, 2		1	1
18	16	24	0.5	1/4	1/4	3/8	2	1	V6{	E	I		V6	V		6				{	M	0	0	5, 2, 1		1	5
19	17	49/2	1.0	0	0	3/8	2	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
19	17	51/2	0.5	1/4	1/4	3/8	2	1	ii7	E	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
20	18	26	0.5	0	0	3/8	2	1	V65/IV	E	I		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
20	18	53/2	0.5	1/8	1/8	3/8	2	1	IV	E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
20	18	27	0.5	1/4	1/4	3/8	2	1	V(+4)	E	I		V(+4)	V			+4				M	0	0	1, 5, 2	0	1	1
21	19	55/2	1.0	0	0	3/8	2	1	vi	E	I		vi	vi							m	0	0	3, 0, 4		3	3
21	19	57/2	0.5	1/4	1/4	3/8	2	1	viio6/V	E	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
22	20	29	0.5	0	0	3/8	2	1	V65	E	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
22	20	59/2	0.5	1/8	1/8	3/8	2	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
22	20	30	0.5	1/4	1/4	3/8	2	1	ii6	E	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
23	21	61/2	0.5	0	0	3/8	2	1	V[V7	E	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
23	21	31	0.5	1/8	1/8	3/8	2	1	I	E	I	V	I	I							M	0	0	0, 4, 1		0	0
23	21	63/2	0.5	1/4	1/4	3/8	2	1	IV6	E	I	V	IV6	IV		6					M	0	0	3, 0, -1		-1	3
24	22	32	0.5	0	0	3/8	2	1	vii%7]	E	I	V	vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
24	22	65/2	0.5	1/8	1/8	3/8	2	1	vi7	E	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
24	22	33	0.5	1/4	1/4	3/8	2	1	viio	E	I		viio	vii	o						o	0	0	5, 2, -1		5	5
25	23	67/2	0.5	0	0	3/8	2	1	I	E	I		I	I							M	0	0	0, 4, 1		0	0
25	23	34	0.5	1/8	1/8	3/8	2	1	ii6	E	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
25	23	69/2	0.5	1/4	1/4	3/8	2	1	V	E	I		V	V							M	0	0	1, 5, 2		1	1
26	24	35	1.0	0	0	3/8	2	1	I|PAC}	E	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
