mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	6.0	0	0	3/8	2	1	e.i{	e	i		i	i						{	m	1	1	0, -3, 1		0	0
5	5	6	6	1.5	0	0	3/8	2	1	#viio43/v	e	i		#viio43/v	#vii	o	43		v			o7	1	1	0, -3, 6, 3		6	0
6	6	15/2	15/2	0.5	0	0	3/8	2	1	v6	e	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
6	6	8	8	0.5	1/8	1/8	3/8	2	1	V2/V/v	e	i		V2/V/v	V		2		V/v			Mm7	1	1	1, 3, 7, 4		3	1
6	6	17/2	17/2	0.5	1/4	1/4	3/8	2	1	V65/V	e	i		V65/V	V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
7	7	9	9	0.5	0	0	3/8	2	1	V	e	i		V	V							M	1	1	1, 5, 2		1	1
7	7	19/2	19/2	0.5	1/8	1/8	3/8	2	1	V2	e	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
7	7	10	10	0.5	1/4	1/4	3/8	2	1	V65/iv	e	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
8	8	21/2	21/2	1.0	0	0	3/8	2	1	#viio65/v	e	i		#viio65/v	#vii	o	65		v			o7	1	1	3, 0, -3, 6		6	3
8	8	23/2	23/2	0.5	1/4	1/4	3/8	2	1	v64	e	i		v64	v		64					m	1	1	2, 1, -2		1	2
9	9	12	12	1.0	0	0	3/8	2	1	V7/III	e	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
9	9	13	13	0.5	1/4	1/4	3/8	2	1	IIIM7	e	i		IIIM7	III	M	7					MM7	1	1	-3, 1, -2, 2		-3	-3
10	10	27/2	27/2	1.0	0	0	3/8	2	1	i	e	i		i	i							m	1	1	0, -3, 1		0	0
10	10	29/2	29/2	0.5	1/4	1/4	3/8	2	1	ii%7	e	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
11	11	15	15	1.0	0	0	3/8	2	1	V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
11	11	16	16	0.5	1/4	1/4	3/8	2	1	i7	e	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
12	12	33/2	33/2	1.0	0	0	3/8	2	1	VIM7	e	i		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
