mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1/2	.G.I	G	I		I	I						M	0	0	0, 4, 1		0	0
2	1	0	V6	G	I		V6	V		6				M	0	0	5, 2, 1		1	5
2	1	1/2	vi	G	I		vi	vi						m	0	0	3, 0, 4		3	3
3	2	0	iii6	G	I		iii6	iii		6				m	0	0	1, 5, 4		4	1
3	2	1/2	IV	G	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
3	2	3/4	ii6	G	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
4	3	0	V	G	I		V	V						M	0	0	1, 5, 2		1	1
4	3	1/4	viio6	G	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
4	3	1/2	V6	G	I		V6	V		6				M	0	0	5, 2, 1		1	5
4	3	3/4	V7	G	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
5	4	0	I	G	I		I	I						M	0	0	0, 4, 1		0	0
5	4	1/4	I64	G	I		I64	I		64				M	0	0	1, 0, 4		0	1
5	4	1/2	I	G	I		I	I						M	0	0	0, 4, 1		0	0
5	4	3/4	ii/V	G	I		ii/V	ii				V		m	0	0	3, 0, 4		3	3
6	5	0	V2/V	G	I		V2/V	V		2		V		Mm7	0	0	0, 2, 6, 3		2	0
6	5	3/8	V6	G	I		V6	V		6				M	0	0	5, 2, 1		1	5
6	5	1/2	viio6/V	G	I		viio6/V	vii	o	6		V		o	0	0	3, 0, 6		6	3
7	6	0	V2/V	G	I		V2/V	V		2		V		Mm7	0	0	0, 2, 6, 3		2	0
7	6	3/8	V6/V	G	I		V6/V	V		6		V		M	0	0	6, 3, 2		2	6
7	6	1/2	V	G	I		V	V						M	0	0	1, 5, 2		1	1
7	6	3/4	V65/V	G	I		V65/V	V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
8	7	0	V	G	I		V	V						M	0	0	1, 5, 2		1	1
8	7	1/4	V6	G	I		V6	V		6				M	0	0	5, 2, 1		1	5
8	7	1/2	V7(4)	G	I		V7(4)	V		7	4			Mm7	0	0	1, 0, 2, -1		1	1
