mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	0	3	3/2	1/8	11/8	firstMeasure				1	2
2	1	3	3/2	3/2	0						3
3	2	3	3/2	3/2	0						4
4	3	3	3/2	3/2	0						5
5	4	3	3/2	3/2	0						6
6	5	3	3/2	3/2	0						7
7	6	3	3/2	3/2	0						8
8	7	3	3/2	3/2	0						9
9	8	3	3/2	3/2	0						10
10	9	3	3/2	3/2	0						11
11	10	3	3/2	11/8	0	endRepeat					1, 12
12	10	3	3/2	1/8	11/8	startRepeat		start-repeat		1	13
13	11	3	3/2	3/2	0						14
14	12	3	3/2	3/2	0						15
15	13	3	3/2	3/2	0						16
16	14	3	3/2	3/2	0						17
17	15	3	3/2	3/2	0						18
18	16	3	3/2	3/2	0						19
19	17	3	3/2	3/2	0						20
20	18	3	3/2	3/2	0						21
21	19	3	3/2	3/2	0						22
22	20	3	3/2	11/8	0	endRepeat					12, -1
