mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-1	3/4	3/4	0						firstMeasure	2
2	2	-1	3/4	3/4	0						start	3
3	3	-1	3/4	3/4	0							4
4	4	-1	3/4	3/4	0							5
5	5	-1	3/4	3/4	0							6
6	6	-1	3/4	3/4	0					line		7
7	7	-1	3/4	3/4	0							8
8	8	-1	3/4	3/4	0							9
9	9	-1	3/4	3/4	0							10
10	10	-1	3/4	3/4	0							11
11	11	-1	3/4	3/4	0							12
12	12	-1	3/4	3/4	0					line		13
13	13	-1	3/4	3/4	0							14
14	14	-1	3/4	3/4	0							15
15	15	-1	3/4	3/4	0							16, 18
16	16	-1	3/4	3/4	0	1						17
17	16	-1	3/4	3/4	0	1		1			end	2
18	16	-1	3/4	3/4	0	2		1		line		19
19	17	-1	3/4	3/4	0				start-repeat		start	20
20	18	-1	3/4	3/4	0							21
21	19	-1	3/4	3/4	0							22
22	20	-1	3/4	3/4	0							23
23	21	-1	3/4	3/4	0							24
24	22	-1	3/4	3/4	0					line		25
25	23	-1	3/4	3/4	0							26
26	24	-1	3/4	3/4	0							27
27	25	-1	3/4	3/4	0							28
28	26	-1	3/4	3/4	0							29
29	27	-1	3/4	3/4	0					line		30
30	28	-1	3/4	3/4	0							31
31	29	-1	3/4	3/4	0							32
32	30	-1	3/4	3/4	0							33
33	31	-1	3/4	3/4	0							34, 35
34	32	-1	3/4	3/4	0	1					end	19
35	32	-1	3/4	3/4	0	2		1	end	section	lastMeasure	-1
