mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	2.0	4	2/2	1/2	1/2			1			firstMeasure	2
2	1	2	4.0	4	2/2	1	0							3
3	2	6	4.0	4	2/2	1	0							4
4	3	10	4.0	4	2/2	1	0					line		5
5	4	14	4.0	4	2/2	1	0							6
6	5	18	4.0	4	2/2	1	0							7
7	6	22	4.0	4	2/2	1	0							8
8	7	26	4.0	4	2/2	1	0							9
9	8	30	2.0	4	2/2	1/2	0					line	end	1, 10
10	8	32	2.0	4	2/2	1/2	1/2			1	start-repeat		start	11
11	9	34	4.0	4	2/2	1	0							12
12	10	38	4.0	4	2/2	1	0							13
13	11	42	4.0	4	2/2	1	0					line		14
14	12	46	4.0	4	2/2	1	0							15
15	13	50	4.0	4	2/2	1	0							16
16	14	54	4.0	4	2/2	1	0							17
17	15	58	4.0	4	2/2	1	0					line		18
18	16	62	4.0	4	2/2	1	0							19
19	17	66	4.0	4	2/2	1	0							20
20	18	70	4.0	4	2/2	1	0							21
21	19	74	4.0	4	2/2	1	0							22
22	20	78	2.0	4	2/2	1/2	0					line	end	10, -1
