mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0.5	0	5/8	6/8	1	1	1/8	1/8	1		4	76	E5	5	0
2	1	1/2	0.5	0	0	6/8	1	1	1/8	1/8	1		3	81	A5	5	1
2	1	1	0.25	1/8	1/8	6/8	1	1	1/16	1/16	1		8	80	G#5	5	2
2	1	5/4	0.25	3/16	3/16	6/8	1	1	1/16	1/16	1		6	78	F#5	5	3
2	1	3/2	0.5	1/4	1/4	6/8	2	1	1/8	1/8	1		4	64	E4	4	11
2	1	3/2	0.25	1/4	1/4	6/8	1	1	1/16	1/16	1		4	76	E5	5	4
2	1	7/4	0.25	5/16	5/16	6/8	1	1	1/16	1/16	1		2	74	D5	5	5
2	1	2	0.5	3/8	3/8	6/8	2	1	1/8	1/8	1		3	69	A4	4	12
2	1	2	0.25	3/8	3/8	6/8	1	1	1/16	1/16	1		7	73	C#5	5	6
2	1	9/4	0.25	7/16	7/16	6/8	1	1	1/16	1/16	1		2	74	D5	5	7
2	1	5/2	0.25	1/2	1/2	6/8	2	1	1/16	1/16	1		8	68	G#4	4	13
2	1	5/2	0.75	1/2	1/2	6/8	1	1	3/16	1/8	3/2		2	74	D5	5	8
2	1	11/4	0.25	9/16	9/16	6/8	2	1	1/16	1/16	1		6	66	F#4	4	14
2	1	3	0.25	5/8	5/8	6/8	2	1	1/16	1/16	1		4	64	E4	4	15
2	1	13/4	0.25	11/16	11/16	6/8	2	1	1/16	1/16	1		2	62	D4	4	16
2	1	13/4	0.125	11/16	11/16	6/8	1	1	1/32	1/32	1		7	73	C#5	5	9
2	1	27/8	0.125	23/32	23/32	6/8	1	1	1/32	1/32	1		2	74	D5	5	10
3	2	7/2	0.25	0	0	6/8	2	1	1/16	1/16	1		7	61	C#4	4	27
3	2	7/2	0.5	0	0	6/8	1	1	1/8	1/8	1		4	76	E5	5	17
3	2	15/4	0.25	1/16	1/16	6/8	2	1	1/16	1/16	1		2	62	D4	4	28
3	2	4	0.75	1/8	1/8	6/8	2	1	3/16	1/8	3/2		2	62	D4	4	29
3	2	4	0.25	1/8	1/8	6/8	1	1	1/16	1/16	1		2	74	D5	5	18
3	2	17/4	0.25	3/16	3/16	6/8	1	1	1/16	1/16	1		7	73	C#5	5	19
3	2	9/2	0.25	1/4	1/4	6/8	1	1	1/16	1/16	1		5	71	B4	4	20
3	2	19/4	0.125	5/16	5/16	6/8	2	1	1/32	1/32	1		7	61	C#4	4	30
3	2	19/4	0.25	5/16	5/16	6/8	1	1	1/16	1/16	1		3	69	A4	4	21
3	2	39/8	0.125	11/32	11/32	6/8	2	1	1/32	1/32	1		2	62	D4	4	31
3	2	5	0.5	3/8	3/8	6/8	2	1	1/8	1/8	1		4	64	E4	4	32
3	2	5	0.25	3/8	3/8	6/8	1	1	1/16	1/16	1		8	68	G#4	4	22
3	2	21/4	0.25	7/16	7/16	6/8	1	1	1/16	1/16	1		3	69	A4	4	23
3	2	11/2	0.25	1/2	1/2	6/8	2	1	1/16	1/16	1		2	62	D4	4	33
3	2	11/2	0.75	1/2	1/2	6/8	1	1	3/16	1/8	3/2		3	69	A4	4	24
3	2	23/4	0.25	9/16	9/16	6/8	2	1	1/16	1/16	1		7	61	C#4	4	34
3	2	6	0.25	5/8	5/8	6/8	2	1	1/16	1/16	1		5	59	B3	3	35
3	2	25/4	0.25	11/16	11/16	6/8	2	1	1/16	1/16	1		3	57	A3	3	36
3	2	25/4	0.125	11/16	11/16	6/8	1	1	1/32	1/32	1		8	68	G#4	4	25
3	2	51/8	0.125	23/32	23/32	6/8	1	1	1/32	1/32	1		3	69	A4	4	26
4	3	13/2	0.25	0	0	6/8	2	1	1/16	1/16	1		8	56	G#3	3	45
4	3	13/2	0.25	0	0	6/8	1	1	1/16	1/16	1		5	71	B4	4	37
4	3	27/4	0.25	1/16	1/16	6/8	2	1	1/16	1/16	1		3	57	A3	3	46
4	3	27/4	0.25	1/16	1/16	6/8	1	1	1/16	1/16	1		7	73	C#5	5	38
4	3	7	0.75	1/8	1/8	6/8	2	1	3/16	1/8	3/2		3	57	A3	3	47
4	3	7	0.75	1/8	1/8	6/8	1	1	3/16	1/8	3/2		7	73	C#5	5	39
4	3	31/4	0.125	5/16	5/16	6/8	2	1	1/32	1/32	1		8	56	G#3	3	48
4	3	31/4	0.125	5/16	5/16	6/8	1	1	1/32	1/32	1		5	71	B4	4	40
4	3	63/8	0.125	11/32	11/32	6/8	2	1	1/32	1/32	1		3	57	A3	3	49
4	3	63/8	0.125	11/32	11/32	6/8	1	1	1/32	1/32	1		7	73	C#5	5	41
4	3	8	0.25	3/8	3/8	6/8	2	1	1/16	1/16	1		5	59	B3	3	50
4	3	8	0.75	3/8	3/8	6/8	1	1	3/16	1/8	3/2		2	74	D5	5	42
4	3	33/4	0.25	7/16	7/16	6/8	2	1	1/16	1/16	1		3	57	A3	3	51
4	3	17/2	0.25	1/2	1/2	6/8	2	1	1/16	1/16	1		8	56	G#3	3	52
4	3	35/4	0.25	9/16	9/16	6/8	2	1	1/16	1/16	1		4	52	E3	3	53
4	3	35/4	0.25	9/16	9/16	6/8	1	1	1/16	1/16	1		4	76	E5	5	43
4	3	9	0.25	5/8	5/8	6/8	2	1	1/16	1/16	1		3	57	A3	3	54
4	3	9	0.5	5/8	5/8	6/8	1	1	1/8	1/8	1	1	7	73	C#5	5	44
4	3	37/4	0.25	11/16	11/16	6/8	2	1	1/16	1/16	1		8	56	G#3	3	55
5	4	19/2	0.25	0	0	6/8	2	1	1/16	1/16	1		6	54	F#3	3	66
5	4	19/2	0.25	0	0	6/8	1	1	1/16	1/16	1	-1	7	73	C#5	5	56
5	4	39/4	0.25	1/16	1/16	6/8	2	1	1/16	1/16	1		2	50	D3	3	67
5	4	39/4	0.25	1/16	1/16	6/8	1	1	1/16	1/16	1		2	74	D5	5	57
5	4	10	0.5	1/8	1/8	6/8	2	1	1/8	1/8	1		4	52	E3	3	68
5	4	10	0.75	1/8	1/8	6/8	1	1	3/16	1/8	3/2		5	71	B4	4	58
5	4	21/2	0.25	1/4	1/4	6/8	2	1	1/16	1/16	1		4	40	E2	2	69
5	4	43/4	0.25	5/16	5/16	6/8	2	1	1/16	1/16	1		4	52	E3	3	70
5	4	43/4	0.25	5/16	5/16	6/8	1	1	1/16	1/16	1		4	76	E5	5	59
5	4	11	0.5	3/8	3/8	6/8	2	1	1/8	1/8	1		3	57	A3	3	71
5	4	11	0.25	3/8	3/8	6/8	1	1	1/16	1/16	1		7	73	C#5	5	60
5	4	45/4	0.25	7/16	7/16	6/8	1	1	1/16	1/16	1		5	71	B4	4	61
5	4	23/2	0.25	1/2	1/2	6/8	2	1	1/16	1/16	1		8	56	G#3	3	72
5	4	23/2	0.25	1/2	1/2	6/8	1	1	1/16	1/16	1		3	69	A4	4	62
5	4	47/4	0.25	9/16	9/16	6/8	2	1	1/16	1/16	1		6	54	F#3	3	73
5	4	47/4	0.25	9/16	9/16	6/8	1	1	1/16	1/16	1		5	71	B4	4	63
5	4	12	0.25	5/8	5/8	6/8	2	1	1/16	1/16	1		4	52	E3	3	74
5	4	12	0.25	5/8	5/8	6/8	1	1	1/16	1/16	1		7	73	C#5	5	64
5	4	49/4	0.25	11/16	11/16	6/8	2	1	1/16	1/16	1		2	50	D3	3	75
5	4	49/4	0.25	11/16	11/16	6/8	1	1	1/16	1/16	1		2	74	D5	5	65
6	5	25/2	0.25	0	0	6/8	2	1	1/16	1/16	1		7	49	C#3	3	88
6	5	25/2	0.25	0	0	6/8	1	1	1/16	1/16	1		4	76	E5	5	76
6	5	51/4	0.25	1/16	1/16	6/8	2	1	1/16	1/16	1		2	50	D3	3	89
6	5	51/4	0.25	1/16	1/16	6/8	1	1	1/16	1/16	1		2	74	D5	5	77
6	5	13	0.75	1/8	1/8	6/8	2	1	3/16	1/8	3/2		2	50	D3	3	90
6	5	13	0.25	1/8	1/8	6/8	1	1	1/16	1/16	1		7	73	C#5	5	78
6	5	53/4	0.25	3/16	3/16	6/8	1	1	1/16	1/16	1		2	74	D5	5	79
6	5	27/2	0.25	1/4	1/4	6/8	1	1	1/16	1/16	1		4	76	E5	5	80
6	5	55/4	0.125	5/16	5/16	6/8	2	1	1/32	1/32	1		7	49	C#3	3	91
6	5	55/4	0.25	5/16	5/16	6/8	1	1	1/16	1/16	1		6	78	F#5	5	81
6	5	111/8	0.125	11/32	11/32	6/8	2	1	1/32	1/32	1		2	50	D3	3	92
6	5	14	0.25	3/8	3/8	6/8	2	1	1/16	1/16	1		4	52	E3	3	93
6	5	14	0.25	3/8	3/8	6/8	1	1	1/16	1/16	1		1	79	G5	5	82
6	5	57/4	0.25	7/16	7/16	6/8	2	1	1/16	1/16	1		3	45	A2	2	94
6	5	57/4	0.25	7/16	7/16	6/8	1	1	1/16	1/16	1		6	78	F#5	5	83
6	5	29/2	0.25	1/2	1/2	6/8	2	1	1/16	1/16	1		3	57	A3	3	95
6	5	29/2	0.25	1/2	1/2	6/8	1	1	1/16	1/16	1		4	76	E5	5	84
6	5	59/4	0.25	9/16	9/16	6/8	2	1	1/16	1/16	1		1	55	G3	3	96
6	5	59/4	0.25	9/16	9/16	6/8	1	1	1/16	1/16	1		6	78	F#5	5	85
6	5	15	0.25	5/8	5/8	6/8	2	1	1/16	1/16	1		6	54	F#3	3	97
6	5	15	0.25	5/8	5/8	6/8	1	1	1/16	1/16	1		1	79	G5	5	86
6	5	61/4	0.25	11/16	11/16	6/8	2	1	1/16	1/16	1		4	52	E3	3	98
6	5	61/4	0.25	11/16	11/16	6/8	1	1	1/16	1/16	1		3	81	A5	5	87
7	6	31/2	0.25	0	0	6/8	2	1	1/16	1/16	1		2	50	D3	3	111
7	6	31/2	0.25	0	0	6/8	1	1	1/16	1/16	1		6	78	F#5	5	99
7	6	63/4	0.25	1/16	1/16	6/8	2	1	1/16	1/16	1		4	52	E3	3	112
