mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	11/8	6/4	1	1	1/8	1/8	1		-1	77		0
2	1	0	0	6/4	2	2	3/2	1	3/2		-1	53		15
2	1	0	0	6/4	1	1	3/8	1/4	3/2		-1	77		1
2	1	1/8	1/8	6/4	2	1	1/8	1/8	1		1	55		9
2	1	1/4	1/4	6/4	2	1	1/4	1/4	1		3	57		10
2	1	3/8	3/8	6/4	1	1	1/8	1/8	1		0	72		2
2	1	1/2	1/2	6/4	2	1	1/4	1/4	1		-2	58		11
2	1	1/2	1/2	6/4	1	1	3/8	1/4	3/2		2	74		3
2	1	3/4	3/4	6/4	2	1	1/4	1/4	1		0	60		12
2	1	7/8	7/8	6/4	1	1	1/8	1/8	1		-1	77		4
2	1	1	1	6/4	2	1	1/4	1/4	1		2	62		13
2	1	1	1	6/4	1	1	1/4	1/4	1		0	72		5
2	1	5/4	5/4	6/4	2	1	1/4	1/4	1		4	64		14
2	1	5/4	5/4	6/4	1	1	1/8	1/8	1		-2	70		6
2	1	11/8	11/8	6/4	1	1	1/16	1/16	1		3	69		7
2	1	23/16	23/16	6/4	1	1	1/16	1/16	1		-2	70		8
3	2	0	0	6/4	2	2	3/8	1/4	3/2		-1	65		28
3	2	0	0	6/4	1	1	1/8	1/8	1		3	69		16
3	2	1/8	1/8	6/4	1	1	1/8	1/8	1		0	72		17
3	2	1/4	1/4	6/4	1	1	1/8	1/8	1		2	74		18
3	2	3/8	3/8	6/4	2	2	1/8	1/8	1		0	60		29
3	2	3/8	3/8	6/4	1	1	1/8	1/8	1		4	76		19
3	2	1/2	1/2	6/4	2	2	3/8	1/4	3/2		2	62		30
3	2	1/2	1/2	6/4	1	1	1/8	1/8	1		-1	77		20
3	2	5/8	5/8	6/4	1	1	1/8	1/8	1		3	81		21
3	2	3/4	3/4	6/4	1	1	1/8	1/8	1		1	79		22
3	2	7/8	7/8	6/4	2	2	1/8	1/8	1		-1	65		31
3	2	7/8	7/8	6/4	1	1	1/8	1/8	1		3	81		23
3	2	1	1	6/4	2	2	1/4	1/4	1		0	60		32
3	2	1	1	6/4	1	1	1/8	1/8	1		-2	82		24
3	2	9/8	9/8	6/4	1	1	1/8	1/8	1		3	81		25
3	2	5/4	5/4	6/4	2	2	1/8	1/8	1		-2	58		33
3	2	5/4	5/4	6/4	1	1	1/8	1/8	1		1	79		26
3	2	11/8	11/8	6/4	2	2	1/16	1/16	1		3	57		34
3	2	11/8	11/8	6/4	1	1	1/8	1/8	1		-1	77		27
3	2	23/16	23/16	6/4	2	2	1/16	1/16	1		-2	58		35
4	3	0	0	6/4	2	2	1/8	1/8	1		3	57		43
4	3	0	0	6/4	1	1	1/4	1/4	1		0	84		36
4	3	1/8	1/8	6/4	2	2	1/8	1/8	1		-1	53		44
4	3	1/4	1/4	6/4	2	2	1/8	1/8	1		1	55		45
4	3	1/4	1/4	6/4	1	1	1/4	1/4	1		0	72		37
4	3	3/8	3/8	6/4	2	2	1/8	1/8	1		3	57		46
4	3	1/2	1/2	6/4	2	2	1/8	1/8	1		-2	58		47
4	3	1/2	1/2	6/4	1	1	3/8	1/4	3/2		2	74		38
4	3	5/8	5/8	6/4	2	2	1/8	1/8	1		0	60		48
4	3	3/4	3/4	6/4	2	2	1/8	1/8	1		3	57		49
4	3	7/8	7/8	6/4	2	2	1/8	1/8	1		-2	58		50
4	3	7/8	7/8	6/4	1	1	1/8	1/8	1		-2	82		39
4	3	1	1	6/4	2	2	1/8	1/8	1		0	60		51
4	3	1	1	6/4	1	1	1/4	1/4	1		3	81		40
4	3	9/8	9/8	6/4	2	2	1/8	1/8	1		5	59		52
4	3	5/4	5/4	6/4	2	2	1/8	1/8	1		3	57		53
4	3	5/4	5/4	6/4	1	1	3/16	1/8	3/2		1	79		41
4	3	11/8	11/8	6/4	2	2	1/8	1/8	1		1	55		54
4	3	23/16	23/16	6/4	1	1	1/16	1/16	1		-1	77		42
5	4	0	0	6/4	2	1	1/8	1/8	1		0	60		64
5	4	0	0	6/4	1	1	3/8	1/4	3/2		4	76		55
5	4	1/8	1/8	6/4	2	1	1/8	1/8	1		5	59		65
5	4	1/4	1/4	6/4	2	1	1/8	1/8	1		0	60		66
5	4	3/8	3/8	6/4	2	1	1/8	1/8	1		2	62		67
5	4	3/8	3/8	6/4	1	1	1/8	1/8	1		-1	77		56
5	4	1/2	1/2	6/4	2	1	1/8	1/8	1		4	64		68
5	4	1/2	1/2	6/4	1	1	1/4	1/4	1		1	79		57
5	4	5/8	5/8	6/4	2	1	1/8	1/8	1		1	67		69
5	4	3/4	3/4	6/4	2	1	1/8	1/8	1		-1	65		70
5	4	3/4	3/4	6/4	1	1	1/8	1/8	1		3	81		58
5	4	7/8	7/8	6/4	2	1	1/8	1/8	1		1	67		71
5	4	7/8	7/8	6/4	1	1	1/8	1/8	1		-2	82		59
5	4	1	1	6/4	2	1	1/4	1/4	1		7	61		72
5	4	1	1	6/4	1	1	1/8	1/8	1		3	81		60
5	4	9/8	9/8	6/4	1	1	1/8	1/8	1		1	79		61
5	4	5/4	5/4	6/4	2	1	1/4	1/4	1		3	57		73
5	4	5/4	5/4	6/4	1	1	1/8	1/8	1		-1	77		62
5	4	11/8	11/8	6/4	1	1	1/8	1/8	1		4	76		63
6	5	0	0	6/4	2	1	1/4	1/4	1		2	62		81
6	5	0	0	6/4	1	1	3/8	1/4	3/2		-1	77		74
6	5	1/4	1/4	6/4	2	1	1/8	1/8	1		2	50		82
6	5	3/8	3/8	6/4	2	1	1/8	1/8	1		4	52		83
6	5	3/8	3/8	6/4	1	1	1/8	1/8	1		4	76		75
6	5	1/2	1/2	6/4	2	1	1/8	1/8	1		-1	53		84
6	5	1/2	1/2	6/4	1	1	1/4	1/4	1		2	74		76
6	5	5/8	5/8	6/4	2	1	1/8	1/8	1		1	55		85
6	5	3/4	3/4	6/4	2	1	1/8	1/8	1		4	52		86
6	5	3/4	3/4	6/4	1	1	1/8	1/8	1		0	72		77
6	5	7/8	7/8	6/4	2	1	1/8	1/8	1		-1	53		87
6	5	7/8	7/8	6/4	1	1	1/8	1/8	1		5	71		78
6	5	1	1	6/4	2	1	1/8	1/8	1		1	55		88
6	5	1	1	6/4	1	1	3/8	1/4	3/2		0	72		79
6	5	9/8	9/8	6/4	2	1	1/8	1/8	1		6	54		89
6	5	5/4	5/4	6/4	2	1	1/8	1/8	1		4	52		90
6	5	11/8	11/8	6/4	2	1	1/8	1/8	1		2	50		91
6	5	11/8	11/8	6/4	1	1	1/8	1/8	1		2	74		80
7	6	0	0	6/4	2	1	1/8	1/8	1		1	55		100
7	6	0	0	6/4	1	1	3/8	1/4	3/2		5	71		92
7	6	1/8	1/8	6/4	2	1	1/8	1/8	1		3	57		101
7	6	1/4	1/4	6/4	2	1	1/8	1/8	1		1	55		102
7	6	3/8	3/8	6/4	2	1	1/8	1/8	1		-1	53		103
7	6	3/8	3/8	6/4	1	1	1/8	1/8	1		3	69		93
7	6	1/2	1/2	6/4	2	1	1/8	1/8	1		4	52		104
7	6	1/2	1/2	6/4	1	1	3/8	1/4	3/2		1	67		94
7	6	5/8	5/8	6/4	2	1	1/8	1/8	1		1	55		105
7	6	3/4	3/4	6/4	2	1	1/8	1/8	1		-1	53		106
7	6	7/8	7/8	6/4	2	1	1/8	1/8	1		4	52		107
7	6	7/8	7/8	6/4	1	1	1/8	1/8	1		1	79		95
7	6	1	1	6/4	2	1	1/8	1/8	1		2	50		108
7	6	1	1	6/4	1	1	1/8	1/8	1		-1	77		96
7	6	9/8	9/8	6/4	2	1	1/8	1/8	1		0	48		109
7	6	9/8	9/8	6/4	1	1	1/8	1/8	1		4	76		97
7	6	5/4	5/4	6/4	2	1	1/4	1/4	1		0	60		110
7	6	5/4	5/4	6/4	1	1	1/8	1/8	1		2	74		98
7	6	11/8	11/8	6/4	1	1	1/8	1/8	1		0	72		99
8	7	0	0	6/4	2	2	1/8	1/8	1		-1	53		122
8	7	0	0	6/4	1	2	3/8	1/4	3/2		3	81		111
8	7	1/8	1/8	6/4	2	2	1/8	1/8	1		4	52		123
8	7	1/4	1/4	6/4	2	2	1/8	1/8	1		2	50		124
8	7	3/8	3/8	6/4	2	2	1/8	1/8	1		0	48		125
8	7	3/8	3/8	6/4	1	2	1/8	1/8	1		4	76		112
8	7	1/2	1/2	6/4	2	1	1/8	1/8	1		5	47		117
8	7	1/2	1/2	6/4	1	2	3/8	1/4	3/2		-1	77		113
8	7	5/8	5/8	6/4	2	1	1/8	1/8	1		1	43		118
8	7	3/4	3/4	6/4	2	1	1/4	1/4	1		0	48		119
8	7	7/8	7/8	6/4	1	2	1/8	1/8	1		1	79		114
8	7	1	1	6/4	2	1	1/4	1/4	1		1	55		120
8	7	1	1	6/4	1	2	3/8	1/4	3/2		2	74		115
8	7	5/4	5/4	6/4	2	1	1/4	1/4	1		1	43		121
8	7	11/8	11/8	6/4	1	2	1/8	1/8	1		0	72		116
9	8	0	0	6/4	2	1	1/2	1/2	1		0	48		132
9	8	0	0	6/4	1	1	3/4	1/2	3/2	1	0	72		126
9	8	1/4	1/4	6/4	2	2	1/2	1/2	1	1	0	36		136
9	8	1/2	1/2	6/4	2	1	1/4	1/4	1		1	43		133
9	8	3/4	3/4	6/4	2	2	1/2	1/2	1	0	0	36		137
9	8	3/4	3/4	6/4	2	1	1/2	1/2	1	1	0	48		134
9	8	3/4	3/4	6/4	1	2	1/2	1/2	1	1	4	64		129
9	8	3/4	3/4	6/4	1	2	1/2	1/2	1	1	1	67		129
9	8	3/4	3/4	6/4	1	1	1/2	1/2	1	0	0	72		127
9	8	5/4	5/4	6/4	2	2	1/8	1/8	1	-1	0	36		138
9	8	5/4	5/4	6/4	2	1	1/8	1/8	1	-1	0	48		135
9	8	5/4	5/4	6/4	1	2	1/8	1/8	1	-1	4	64		130
9	8	5/4	5/4	6/4	1	2	1/8	1/8	1	-1	1	67		130
9	8	5/4	5/4	6/4	1	1	1/8	1/8	1	-1	0	72		128
9	8	11/8	11/8	6/4	1	2	1/8	1/8	1		1	67		131
10	9	0	0	6/4	2	2	3/2	1	3/2		0	48		151
10	9	0	0	6/4	1	2	3/8	1/4	3/2		1	67		145
10	9	1/4	1/4	6/4	2	1	1/4	1/4	1		2	50		146
10	9	3/8	3/8	6/4	1	1	1/8	1/8	1		0	72		139
10	9	1/2	1/2	6/4	2	1	1/4	1/4	1		4	52		147
10	9	1/2	1/2	6/4	1	1	3/8	1/4	3/2		-2	70		140
10	9	3/4	3/4	6/4	2	1	1/4	1/4	1		-1	53		148
10	9	7/8	7/8	6/4	1	1	1/8	1/8	1		3	69		141
10	9	1	1	6/4	2	1	1/4	1/4	1		1	55		149
10	9	1	1	6/4	1	1	1/8	1/8	1		-2	70		142
10	9	9/8	9/8	6/4	1	1	1/8	1/8	1		2	74		143
10	9	5/4	5/4	6/4	2	1	1/4	1/4	1		4	52		150
10	9	5/4	5/4	6/4	1	1	1/4	1/4	1		0	72		144
11	10	0	0	6/4	2	1	3/2	1	3/2		-1	53		170
11	10	0	0	6/4	2	2	3/2	1	3/2		-1	53		171
11	10	0	0	6/4	1	1	1/8	1/8	1		3	69		152
11	10	1/8	1/8	6/4	1	1	1/8	1/8	1		0	72		153
11	10	1/4	1/4	6/4	1	1	1/8	1/8	1		2	74		154
11	10	3/8	3/8	6/4	1	2	1/8	1/8	1		-1	65		164
11	10	3/8	3/8	6/4	1	1	1/8	1/8	1		-3	75		155
11	10	1/2	1/2	6/4	1	2	3/8	1/4	3/2		-3	63		165
11	10	1/2	1/2	6/4	1	1	1/8	1/8	1		-1	77		156
11	10	5/8	5/8	6/4	1	1	1/8	1/8	1		3	69		157
11	10	3/4	3/4	6/4	1	1	1/8	1/8	1		-2	70		158
11	10	7/8	7/8	6/4	1	2	1/8	1/8	1		2	62		166
11	10	7/8	7/8	6/4	1	1	1/8	1/8	1		1	79		159
11	10	1	1	6/4	1	2	1/8	1/8	1		-3	63		167
11	10	1	1	6/4	1	1	1/8	1/8	1		0	72		160
11	10	9/8	9/8	6/4	1	2	1/8	1/8	1		1	67		168
11	10	9/8	9/8	6/4	1	1	1/8	1/8	1		-3	75		161
11	10	5/4	5/4	6/4	1	2	1/4	1/4	1		-1	65		169
11	10	5/4	5/4	6/4	1	1	1/8	1/8	1		2	74		162
11	10	11/8	11/8	6/4	1	1	1/8	1/8	1		-3	75		163
12	11	0	0	6/4	2	1	1/8	1/8	1		-2	58		183
12	11	0	0	6/4	1	2	1/4	1/4	1		-1	65		180
12	11	0	0	6/4	1	1	1/8	1/8	1		-3	75		172
12	11	1/8	1/8	6/4	2	1	1/8	1/8	1		-1	53		184
12	11	1/8	1/8	6/4	1	1	1/8	1/8	1		2	74		173
12	11	1/4	1/4	6/4	2	1	1/8	1/8	1		1	55		185
12	11	1/4	1/4	6/4	1	1	1/8	1/8	1		0	72		174
12	11	3/8	3/8	6/4	2	1	1/8	1/8	1		3	57		186
12	11	3/8	3/8	6/4	1	1	1/8	1/8	1		-2	70		175
12	11	1/2	1/2	6/4	2	1	1/8	1/8	1		-2	58		187
12	11	1/2	1/2	6/4	1	2	1/2	1/2	1		-2	70		181
12	11	1/2	1/2	6/4	1	1	3/8	1/4	3/2		2	74		176
12	11	5/8	5/8	6/4	2	1	1/8	1/8	1		2	50		188
12	11	3/4	3/4	6/4	2	1	1/8	1/8	1		4	52		189
12	11	7/8	7/8	6/4	2	1	1/8	1/8	1		0	60		190
12	11	7/8	7/8	6/4	1	1	1/8	1/8	1		-3	75		177
12	11	1	1	6/4	2	1	1/8	1/8	1		6	54		191
12	11	1	1	6/4	1	2	1/2	1/2	1		-2	70		182
12	11	1	1	6/4	1	1	3/8	1/4	3/2		0	72		178
12	11	9/8	9/8	6/4	2	1	1/8	1/8	1		3	57		192
12	11	5/4	5/4	6/4	2	1	1/8	1/8	1		1	55		193
12	11	11/8	11/8	6/4	2	1	1/8	1/8	1		3	57		194
12	11	11/8	11/8	6/4	1	1	1/8	1/8	1		0	72		179
13	12	0	0	6/4	2	1	1/4	1/4	1		6	54		204
13	12	0	0	6/4	1	2	1/2	1/2	1		3	69		201
13	12	0	0	6/4	1	1	3/8	1/4	3/2		0	72		195
13	12	1/4	1/4	6/4	2	1	1/4	1/4	1		2	50		205
13	12	3/8	3/8	6/4	1	1	1/8	1/8	1		2	74		196
13	12	1/2	1/2	6/4	2	1	1/4	1/4	1		1	55		206
13	12	1/2	1/2	6/4	1	2	1/2	1/2	1		1	67		202
13	12	1/2	1/2	6/4	1	1	3/8	1/4	3/2		-2	70		197
13	12	3/4	3/4	6/4	2	1	1/4	1/4	1		0	48		207
13	12	7/8	7/8	6/4	1	1	1/8	1/8	1		3	69		198
13	12	1	1	6/4	2	1	1/4	1/4	1		2	50		208
13	12	1	1	6/4	1	2	1/2	1/2	1		6	66		203
13	12	1	1	6/4	1	1	3/8	1/4	3/2		3	69		199
13	12	5/4	5/4	6/4	2	1	1/4	1/4	1		2	38		209
13	12	11/8	11/8	6/4	1	1	1/8	1/8	1		1	67		200
14	13	0	0	6/4	2	1	1/8	1/8	1		1	43		215
14	13	0	0	6/4	1	1	3/4	1/2	3/2		1	67		210
14	13	0	0	6/4	1	2	3/4	1/2	3/2		1	67		211
14	13	1/8	1/8	6/4	2	1	1/8	1/8	1		2	50		216
14	13	1/4	1/4	6/4	2	1	1/8	1/8	1		4	52		217
14	13	3/8	3/8	6/4	2	1	1/8	1/8	1		6	54		218
14	13	1/2	1/2	6/4	2	1	1/8	1/8	1		1	55		219
14	13	5/8	5/8	6/4	2	1	1/8	1/8	1		-2	58		220
14	13	3/4	3/4	6/4	2	1	1/8	1/8	1		3	57		221
14	13	3/4	3/4	6/4	1	2	1/4	1/4	1		1	79		212
14	13	7/8	7/8	6/4	2	1	1/8	1/8	1		-2	58		222
14	13	1	1	6/4	2	1	1/8	1/8	1		0	60		223
14	13	1	1	6/4	1	2	3/8	1/4	3/2		2	74		213
14	13	9/8	9/8	6/4	2	1	1/8	1/8	1		-2	58		224
14	13	5/4	5/4	6/4	2	1	1/8	1/8	1		3	57		225
14	13	11/8	11/8	6/4	2	1	1/8	1/8	1		1	55		226
14	13	11/8	11/8	6/4	1	2	1/8	1/8	1		4	76		214
15	14	0	0	6/4	2	1	1/4	1/4	1		2	62		234
15	14	0	0	6/4	1	1	3/8	1/4	3/2		-1	77		227
15	14	1/4	1/4	6/4	2	1	3/8	1/4	3/2		2	50		235
15	14	3/8	3/8	6/4	1	1	1/8	1/8	1		4	76		228
15	14	1/2	1/2	6/4	1	1	1/4	1/4	1		2	74		229
15	14	5/8	5/8	6/4	2	1	1/8	1/8	1		-1	53		236
15	14	3/4	3/4	6/4	2	1	1/8	1/8	1		4	52		237
15	14	3/4	3/4	6/4	1	1	1/8	1/8	1		0	72		230
15	14	7/8	7/8	6/4	2	1	1/8	1/8	1		-1	53		238
15	14	7/8	7/8	6/4	1	1	1/8	1/8	1		-2	70		231
15	14	1	1	6/4	2	1	1/8	1/8	1		1	55		239
15	14	1	1	6/4	1	1	3/8	1/4	3/2		3	69		232
15	14	9/8	9/8	6/4	2	1	1/8	1/8	1		-1	53		240
15	14	5/4	5/4	6/4	2	1	1/8	1/8	1		4	52		241
15	14	11/8	11/8	6/4	2	1	1/8	1/8	1		2	50		242
15	14	11/8	11/8	6/4	1	1	1/8	1/8	1		-2	70		233
16	15	0	0	6/4	2	1	1/8	1/8	1		3	57		250
16	15	0	0	6/4	1	1	3/8	1/4	3/2		0	72		243
16	15	1/8	1/8	6/4	2	1	1/8	1/8	1		-2	58		251
16	15	1/4	1/4	6/4	2	1	1/8	1/8	1		3	57		252
16	15	3/8	3/8	6/4	2	1	1/8	1/8	1		1	55		253
