quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.25	1	0	0	15/16	4/4	1	1	1/16	1/16	1		1	67	G4	4	0
1/4	0.5	2	1	0	0	4/4	2	2	1/8	1/8	1		0	60	C4	4	24
1/4	0.5	2	1	0	0	4/4	2	1	1/8	1/8	1		-3	63	Eb4	4	20
1/4	0.25	2	1	0	0	4/4	1	1	1/16	1/16	1		1	67	G4	4	1
1/2	0.125	2	1	1/16	1/16	4/4	1	1	1/32	1/32	1		3	69	A4	4	2
5/8	0.125	2	1	3/32	3/32	4/4	1	1	1/32	1/32	1		5	71	B4	4	3
3/4	0.5	2	1	1/8	1/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	25
3/4	0.25	2	1	1/8	1/8	4/4	1	1	1/16	1/16	1		0	72	C5	5	4
1	0.25	2	1	3/16	3/16	4/4	1	1	1/16	1/16	1		2	74	D5	5	5
5/4	0.5	2	1	1/4	1/4	4/4	1	1	1/8	1/8	1		-3	75	Eb5	5	6
3/2	0.5	2	1	5/16	5/16	4/4	1	3	1/8	1/8	1		1	67	G4	4	14
7/4	0.5	2	1	3/8	3/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	26
7/4	0.5	2	1	3/8	3/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	21
7/4	0.5	2	1	3/8	3/8	4/4	1	1	1/8	1/8	1		2	74	D5	5	7
2	0.25	2	1	7/16	7/16	4/4	1	3	1/16	1/16	1		-1	65	F4	4	15
9/4	0.5	2	1	1/2	1/2	4/4	2	2	1/8	1/8	1		-4	56	Ab3	3	27
9/4	0.5	2	1	1/2	1/2	4/4	2	1	1/8	1/8	1		0	60	C4	4	22
9/4	0.25	2	1	1/2	1/2	4/4	1	3	1/16	1/16	1		-3	63	Eb4	4	16
5/2	0.25	2	1	9/16	9/16	4/4	1	3	1/16	1/16	1		2	62	D4	4	17
11/4	0.5	2	1	5/8	5/8	4/4	2	2	1/8	1/8	1		-4	44	Ab2	2	28
11/4	0.25	2	1	5/8	5/8	4/4	1	3	1/16	1/16	1		-3	63	Eb4	4	18
11/4	0.5	2	1	5/8	5/8	4/4	1	2	1/8	1/8	1	1	-3	63	Eb4	4	10
3	0.25	2	1	11/16	11/16	4/4	1	3	1/16	1/16	1		1	67	G4	4	19
13/4	0.25	2	1	3/4	3/4	4/4	1	2	1/16	1/16	1	-1	-3	63	Eb4	4	11
13/4	0.75	2	1	3/4	3/4	4/4	1	1	3/16	1/8	3/2		0	72	C5	5	8
7/2	0.25	2	1	13/16	13/16	4/4	1	2	1/16	1/16	1		-1	65	F4	4	12
15/4	0.5	2	1	7/8	7/8	4/4	2	2	1/8	1/8	1		-3	51	Eb3	3	29
15/4	0.5	2	1	7/8	7/8	4/4	2	1	1/8	1/8	1	1	0	60	C4	4	23
15/4	0.5	2	1	7/8	7/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	13
4	0.25	2	1	15/16	15/16	4/4	1	1	1/16	1/16	1	1	0	72	C5	5	9
17/4	0.5	3	2	0	0	4/4	2	2	1/8	1/8	1		-1	53	F3	3	55
17/4	1.0	3	2	0	0	4/4	2	1	1/4	1/4	1	0	0	60	C4	4	51
17/4	0.5	3	2	0	0	4/4	1	3	1/8	1/8	1		-4	68	Ab4	4	48
17/4	0.25	3	2	0	0	4/4	1	1	1/16	1/16	1	-1	0	72	C5	5	30
9/2	0.125	3	2	1/16	1/16	4/4	1	1	1/32	1/32	1		2	74	D5	5	31
37/8	0.125	3	2	3/32	3/32	4/4	1	1	1/32	1/32	1		-3	75	Eb5	5	32
19/4	0.5	3	2	1/8	1/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	56
19/4	0.25	3	2	1/8	1/8	4/4	1	1	1/16	1/16	1		-1	77	F5	5	33
5	0.25	3	2	3/16	3/16	4/4	1	1	1/16	1/16	1		1	79	G5	5	34
21/4	0.5	3	2	1/4	1/4	4/4	2	2	1/8	1/8	1		1	55	G3	3	57
21/4	0.5	3	2	1/4	1/4	4/4	2	1	1/8	1/8	1	-1	0	60	C4	4	52
