mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0		0	0	3/4	2	1	1/4	1/4	1		0	48	C3	3	6
1	1	0	0	0.5		0	0	3/4	1	1	1/8	1/8	1		1	67	G4	4	0
1	1	1/2	1/2	0.5		1/8	1/8	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	1
1	1	1	1	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		2	50	D3	3	7
1	1	1	1	0.5		1/4	1/4	3/4	1	1	1/8	1/8	1		2	74	D5	5	2
1	1	3/2	3/2	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	3
1	1	2	2	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		-3	51	Eb3	3	8
1	1	2	2	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		5	71	B4	4	4
1	1	5/2	5/2	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	5
2	2	3	3	0.5		0	0	3/4	2	1	1/8	1/8	1		-1	53	F3	3	12
2	2	3	3	1.0		0	0	3/4	1	1	1/4	1/4	1		-4	80	Ab5	5	9
2	2	7/2	7/2	0.5		1/8	1/8	3/4	2	1	1/8	1/8	1		-1	65	F4	4	13
2	2	4	4	0.5		1/4	1/4	3/4	2	1	1/8	1/8	1		-3	63	Eb4	4	14
2	2	4	4	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		1	79	G5	5	10
2	2	9/2	9/2	0.5		3/8	3/8	3/4	2	1	1/8	1/8	1		2	62	D4	4	15
2	2	5	5	0.5		1/2	1/2	3/4	2	1	1/8	1/8	1		0	60	C4	4	16
2	2	5	5	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		-1	77	F5	5	11
2	2	11/2	11/2	0.5		5/8	5/8	3/4	2	1	1/8	1/8	1		5	59	B3	3	17
3	3	6	6	1.0		0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	24
3	3	6	6	0.5		0	0	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	18
3	3	13/2	13/2	0.5		1/8	1/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	19
3	3	7	7	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		-4	56	Ab3	3	25
3	3	7	7	0.5		1/4	1/4	3/4	1	1	1/8	1/8	1		-1	77	F5	5	20
3	3	15/2	15/2	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	21
3	3	8	8	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		-1	53	F3	3	26
3	3	8	8	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		2	74	D5	5	22
3	3	17/2	17/2	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	23
4	4	9	9	1.0		0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	33
4	4	9	9	0.5		0	0	3/4	1	1	1/8	1/8	1		5	71	B4	4	27
4	4	19/2	19/2	0.5		1/8	1/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	28
4	4	10	10	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	34
4	4	10	10	0.5		1/4	1/4	3/4	1	1	1/8	1/8	1		0	72	C5	5	29
4	4	21/2	21/2	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		5	71	B4	4	30
4	4	11	11	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	35
4	4	11	11	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		3	69	A4	4	31
4	4	23/2	23/2	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		1	67	G4	4	32
5	5	12	12	1.0		0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	42
5	5	12	12	0.5		0	0	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	36
5	5	25/2	25/2	0.5		1/8	1/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	37
5	5	13	13	0.5		1/4	1/4	3/4	1	1	1/8	1/8	1		0	72	C5	5	38
5	5	27/2	27/2	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	39
5	5	14	14	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		0	48	C3	3	43
5	5	14	14	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		-4	68	Ab4	4	40
5	5	29/2	29/2	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		1	67	G4	4	41
6	6	15	15	1.0		0	0	3/4	2	1	1/4	1/4	1		2	50	D3	3	50
6	6	15	15	0.5		0	0	3/4	1	1	1/8	1/8	1		-1	65	F4	4	44
6	6	31/2	31/2	0.5		1/8	1/8	3/4	1	1	1/8	1/8	1		-1	77	F5	5	45
6	6	16	16	0.5		1/4	1/4	3/4	1	1	1/8	1/8	1		-3	75	Eb5	5	46
6	6	33/2	33/2	0.5		3/8	3/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	47
6	6	17	17	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	51
6	6	17	17	0.5		1/2	1/2	3/4	1	1	1/8	1/8	1		0	72	C5	5	48
6	6	35/2	35/2	0.5		5/8	5/8	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	49
7	7	18	18	1.0		0	0	3/4	2	1	1/4	1/4	1		-3	63	Eb4	4	55
7	7	18	18	1.0		0	0	3/4	1	1	1/4	1/4	1		1	79	G5	5	52
7	7	19	19	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		-4	56	Ab3	3	56
7	7	19	19	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		-3	75	Eb5	5	53
7	7	20	20	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	57
7	7	20	20	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	54
8	8		21	0.5	1	0	0	3/4	2	1	1/8	1/8	1		-3	51	Eb3	3	59
8	8		21	3.0	1	0	0	3/4	1	1	3/4	1/2	3/2		-3	75	Eb5	5	58
8	8		43/2	0.5	1	1/8	1/8	3/4	2	1	1/8	1/8	1		1	55	G3	3	60
8	8		22	0.5	1	1/4	1/4	3/4	2	1	1/8	1/8	1		-1	53	F3	3	61
8	8		45/2	0.5	1	3/8	3/8	3/4	2	1	1/8	1/8	1		-3	51	Eb3	3	62
8	8		23	0.5	1	1/2	1/2	3/4	2	1	1/8	1/8	1		2	50	D3	3	63
8	8		47/2	0.5	1	5/8	5/8	3/4	2	1	1/8	1/8	1		-3	51	Eb3	3	64
9	8	21	24	1.0	2	0	0	3/4	2	1	1/4	1/4	1		-3	51	Eb3	3	66
9	8	21	24	3.0	2	0	0	3/4	1	1	3/4	1/2	3/2		-3	75	Eb5	5	65
9	8	22	25	1.0	2	1/4	1/4	3/4	2	1	1/4	1/4	1		-2	46	Bb2	2	67
