mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	15/16	4/4	2	1	e.i					e	i		i	i							m	1	1	4, 1, 5		4	4	2	8	0.2	0.125	1.0	0.1111111111111111
2	1	3/8	3/8	4/4	2	1	iio					e	i		iio	ii	o						o	1	1	6, 3, 0		6	6	0	2	0.0	0.0	0.125	0.0
2	1	7/16	7/16	4/4	2	1	i6					e	i		i6	i		6					m	1	1	1, 5, 4		4	1	0	2	0.0	0.0	0.125	0.0
2	1	1/2	1/2	4/4	2	1	ii%65					e	i		ii%65	ii	%	65					%7	1	1	3, 0, 4, 6		6	3	0	3	0.0	0.0	0.25	0.0
2	1	5/8	5/8	4/4	2	1	#viio6					e	i		#viio6	#vii	o	6					o	1	1	6, 3, 9		9	6	0	3	0.0	0.0	0.25	0.0
2	1	3/4	3/4	4/4	2	1	V(64)					e	i		V(64)	V			64				M	1	1	5, 4, 1		5	5	1	2	0.3333333333333333	0.0625	0.1875	0.25
2	1	7/8	7/8	4/4	2	1	V7					e	i		V7	V		7					Mm7	1	1	5, 9, 6, 3		5	5	0	3	0.0	0.0	0.25	0.0
3	2	0	0	4/4	2	1	i					e	i		i	i							m	1	1	4, 1, 5		4	4	2	6	0.25	0.125	0.9375	0.11764705882352941
3	2	1/4	1/4	4/4	2	1	VI					e	i		VI	VI							M	1	1	0, 4, 1		0	0	0	1	0.0	0.0	0.0625	0.0
3	2	5/16	5/16	4/4	2	1	i64					e	i		i64	i		64					m	1	1	5, 4, 1		4	5	0	2	0.0	0.0	0.125	0.0
3	2	3/8	3/8	4/4	2	1	iio6					e	i		iio6	ii	o	6					o	1	1	3, 0, 6		6	3	0	2	0.0	0.0	0.125	0.0
3	2	7/16	7/16	4/4	2	1	i6					e	i		i6	i		6					m	1	1	1, 5, 4		4	1	0	2	0.0	0.0	0.125	0.0
3	2	1/2	1/2	4/4	2	1	ii%7					e	i		ii%7	ii	%	7					%7	1	1	6, 3, 0, 4		6	6	1	4	0.2	0.03125	0.21875	0.125
3	2	5/8	5/8	4/4	2	1	V6					e	i		V6	V		6					M	1	1	9, 6, 5		5	9	0	2	0.0	0.0	0.125	0.0
