mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/2	2	1	d.i{					d	i		i	i						{	m	1	1	2, -1, 3		2.0	2.0	1	6	0.14285714285714285	0.125	2.25	0.05263157894736842
1	1	1/2	1/2	3/2	2	1	ii%2					d	i		ii%2	ii	%	2					%7	1	1	2, 4, 1, -2		4.0	2.0	3	11	0.21428571428571427	0.375	4.25	0.08108108108108109
2	2	0	0	3/2	2	1	V65					d	i		V65	V		65					Mm7	1	1	7, 4, 1, 3		3.0	7.0	1	6	0.14285714285714285	0.125	1.875	0.0625
2	2	1/2	1/2	3/2	2	1	V2/iv					d	i		V2/iv	V		2		iv			Mm7	1	1	0, 2, 6, 3		2.0	0.0	1	13	0.07142857142857142	0.125	4.5	0.02702702702702703
3	3	0	0	3/2	2	1	iv6					d	i		iv6	iv		6					m	1	1	-2, 2, 1		1.0	-2.0	2	4	0.3333333333333333	0.25	1.625	0.13333333333333333
3	3	1/2	1/2	3/2	2	1	iio6					d	i		iio6	ii	o	6					o	1	1	1, -2, 4		4.0	1.0	1	5	0.16666666666666666	0.125	1.75	0.06666666666666667
3	3	1	1	3/2	2	1	V65/V					d	i		V65/V	V		65		V			Mm7	1	1	8, 5, 2, 4		4.0	8.0	1	6	0.14285714285714285	0.125	1.875	0.0625
4	4	0	0	3/2	2	1	V|HC}					d	i		V	V					HC	}	M	1	1	3, 7, 4		3.0	3.0	5	7	0.4166666666666667	0.75	3.25	0.1875
4	4	1	1	3/2	2	1	V2					d	i		V2	V		2					Mm7	1	1	1, 3, 7, 4		3.0	1.0	2	6	0.25	0.1875	1.8125	0.09375
5	5	0	0	3/2	2	1	V65/iv{					d	i		V65/iv	V		65		iv		{	Mm7	1	1	6, 3, 0, 2		2.0	6.0	1	6	0.14285714285714285	0.125	1.875	0.0625
5	5	1/2	1/2	3/2	2	1	V2/VII					d	i		V2/VII	V		2		VII			Mm7	1	1	-1, 1, 5, 2		1.0	-1.0	2	11	0.15384615384615385	0.25	3.875	0.06060606060606061
6	6	0	0	3/2	2	1	V7/V					d	i		V7/V	V		7		V			Mm7	1	1	4, 8, 5, 2		4.0	4.0	1	7	0.125	0.125	2.375	0.05
6	6	1/2	1/2	3/2	2	1	V2					d	i		V2	V		2					Mm7	1	1	1, 3, 7, 4		3.0	1.0	2	5	0.2857142857142857	0.5	1.5	0.25
6	6	1	1	3/2	2	1	#viio65					d	i		#viio65	#vii	o	65					o7	1	1	4, 1, -2, 7		7.0	4.0	2	6	0.25	0.25	0.75	0.25
7	7	0	0	3/2	2	1	V6					d	i		V6	V		6					M	1	1	7, 4, 3		3.0	7.0	2	6	0.25	0.25	0.75	0.25
7	7	1/2	1/2	3/2	2	1	i					d	i		i	i							m	1	1	2, -1, 3		2.0	2.0	0	10	0.0	0.0	2.25	0.0
7	7	5/4	5/4	3/2	2	1	viio65/V					d	i		viio65/V	vii	o	65		V			o7	1	1	5, 2, -1, 8		8.0	5.0	0	4	0.0	0.0	0.75	0.0
8	8	0	0	3/2	2	1	V|HC}				1.0	d	i		V	V					HC	}	M	1	1	3, 7, 4		3.0	3.0	8	13	0.38095238095238093	1.0	4.625	0.17777777777777778
9	8	0	0	3/2	2	1	V|HC}				2.0	d	i		V	V					HC	}	M	1	1	3, 7, 4		3.0	3.0	7	15	0.3181818181818182	0.875	6.25	0.12280701754385964
10	9	1/2	1/2	3/2	2	1	V2					d	i		V2	V		2					Mm7	1	1	1, 3, 7, 4		3.0	1.0	2	8	0.2	0.25	3.5	0.06666666666666667
10	9	5/4	5/4	3/2	2	1	V					d	i		V	V							M	1	1	3, 7, 4		3.0	3.0	1	1	0.5	0.125	0.125	0.5
11	10	0	0	3/2	2	1	#viio43					d	i		#viio43	#vii	o	43					o7	1	1	1, -2, 7, 4		7.0	1.0	1	6	0.14285714285714285	0.125	1.875	0.0625
11	10	1/2	1/2	3/2	2	1	viio/VI					d	i		viio/VI	vii	o			VI			o	1	1	3, 0, -3		3.0	3.0	1	6	0.14285714285714285	0.125	2.125	0.05555555555555555
11	10	1	1	3/2	2	1	V65/VI					d	i		V65/VI	V		65		VI			Mm7	1	1	3, 0, -3, -1		-1.0	3.0	1	4	0.2	0.125	1.25	0.09090909090909091
12	11	0	0	3/2	2	1	VI					d	i		VI	VI							M	1	1	-2, 2, -1		-2.0	-2.0	1	4	0.2	0.125	1.375	0.08333333333333333
12	11	1/4	1/4	3/2	2	1	VI2					d	i		VI2	VI		2					Mm7	1	1	-4, -2, 2, -1		-2.0	-4.0	1	2	0.3333333333333333	0.25	0.25	0.5
12	11	1/2	1/2	3/2	2	1	III.viio6					d	III		viio6	vii	o	6					o	1	0	1, -2, 4		4.0	1.0	2	5	0.2857142857142857	0.25	1.75	0.125
12	11	1	1	3/2	2	1	I					d	III		I	I							M	1	0	-1, 3, 0		-1.0	-1.0	1	4	0.2	0.125	1.25	0.09090909090909091
12	11	5/4	5/4	3/2	2	1	vii%43					d	III		vii%43	vii	%	43					%7	1	0	-2, 2, 4, 1		4.0	-2.0	2	2	0.5	0.25	0.25	0.5
13	12	0	0	3/2	2	1	V|HC}					d	III		V	V					HC	}	M	1	0	0, 4, 1		0.0	0.0	5	9	0.35714285714285715	0.75	3.0	0.2
13	12	1	1	3/2	2	1	V2	0	-8	/		d	III		V2	V		2					Mm7	1	0	-2, 0, 4, 1		0.0	-2.0	2	6	0.25	0.1875	1.8125	0.09375
14	13	0	0	3/2	2	1	I6{					d	III		I6	I		6				{	M	1	0	3, 0, -1		-1.0	3.0	3	7	0.3	0.5	2.25	0.18181818181818182
14	13	1	1	3/2	2	1	I					d	III		I	I							M	1	0	-1, 3, 0		-1.0	-1.0	1	5	0.16666666666666666	0.125	1.25	0.09090909090909091
15	14	0	0	3/2	2	1	ii6(2)					d	III		ii6(2)	ii		6	2				m	1	0	-2, 2, 3		1.0	-2.0	0	4	0.0	0.0	1.625	0.0
15	14	1/4	1/4	3/2	2	1	ii6					d	III		ii6	ii		6					m	1	0	-2, 2, 1		1.0	-2.0	3	5	0.375	0.5	1.125	0.3076923076923077
15	14	1	1	3/2	2	1	ii7					d	III		ii7	ii		7					mm7	1	0	1, -2, 2, -1		1.0	1.0	0	3	0.0	0.0	0.5	0.0
15	14	5/4	5/4	3/2	2	1	V2					d	III		V2	V		2					Mm7	1	0	-2, 0, 4, 1		0.0	-2.0	0	5	0.0	0.0	1.0	0.0
16	15	0	0	3/2	2	1	I6					d	III		I6	I		6					M	1	0	3, 0, -1		-1.0	3.0	0	4	0.0	0.0	1.125	0.0
16	15	1/4	1/4	3/2	2	1	IV					d	III		IV	IV							M	1	0	-2, 2, -1		-2.0	-2.0	0	4	0.0	0.0	0.75	0.0
16	15	1/2	1/2	3/2	2	1	V(64)					d	III		V(64)	V			64				M	1	0	0, -1, 3		0.0	0.0	3	5	0.375	0.375	1.75	0.17647058823529413
16	15	1	1	3/2	2	1	V					d	III		V	V							M	1	0	0, 4, 1		0.0	0.0	1	2	0.3333333333333333	0.125	0.625	0.16666666666666666
16	15	5/4	5/4	3/2	2	1	V7					d	III		V7	V		7					Mm7	1	0	0, 4, 1, -2		0.0	0.0	0	3	0.0	0.0	0.625	0.0
17	16	0	0	3/2	2	1	I|PAC}					d	III		I	I					PAC	}	M	1	0	-1, 3, 0		-1.0	-1.0	3	17	0.15	0.375	5.5	0.06382978723404255
18	17	0	0	3/2	2	1	i.V6/iv{					d	i		V6/iv	V		6		iv		{	M	1	1	6, 3, 2		2.0	6.0	3	12	0.2	0.375	2.875	0.11538461538461539
18	17	1	1	3/2	2	1	V2/iv					d	i		V2/iv	V		2		iv			Mm7	1	1	0, 2, 6, 3		2.0	0.0	2	6	0.25	0.25	0.75	0.25
19	18	0	0	3/2	2	1	iv					d	i		iv	iv							m	1	1	1, -2, 2		1.0	1.0	0	3	0.0	0.0	1.0	0.0
19	18	1/4	1/4	3/2	2	1	iio6					d	i		iio6	ii	o	6					o	1	1	1, -2, 4		4.0	1.0	0	3	0.0	0.0	0.5	0.0
19	18	1/2	1/2	3/2	2	1	V7					d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3.0	3.0	1	5	0.16666666666666666	0.125	1.125	0.1
19	18	1	1	3/2	2	1	iv65					d	i		iv65	iv		65					mm7	1	1	-2, 2, -1, 1		1.0	-2.0	0	3	0.0	0.0	0.75	0.0
19	18	5/4	5/4	3/2	2	1	VI					d	i		VI	VI							M	1	1	-2, 2, -1		-2.0	-2.0	1	2	0.3333333333333333	0.125	0.375	0.25
20	19	0	0	3/2	2	1	#viio6					d	i		#viio6	#vii	o	6					o	1	1	4, 1, 7		7.0	4.0	1	5	0.16666666666666666	0.125	1.125	0.1
20	19	1/2	1/2	3/2	2	1	i6					d	i		i6	i		6					m	1	1	-1, 3, 2		2.0	-1.0	1	5	0.16666666666666666	0.125	1.125	0.1
20	19	1	1	3/2	2	1	ii%65					d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4.0	1.0	1	5	0.16666666666666666	0.125	1.125	0.1
21	20	0	0	3/2	2	1	V6}					d	i		V6	V		6				}	M	1	1	7, 4, 3		3.0	7.0	3	12	0.2	0.375	3.375	0.1
21	20	5/4	5/4	3/2	2	1	V7					d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3.0	3.0	1	2	0.3333333333333333	0.125	0.375	0.25
22	21	0	0	3/2	2	1	V2/IV{					d	i		V2/IV	V		2		IV		{	Mm7	1	1	0, 2, 6, 3		2.0	0.0	1	13	0.07142857142857142	0.125	4.75	0.02564102564102564
22	21	1	1	3/2	2	1	IV6					d	i		IV6	IV		6					M	1	1	5, 2, 1		1.0	5.0	1	13	0.07142857142857142	0.125	4.25	0.02857142857142857
23	22	1/2	1/2	3/2	2	1	#viio2					d	i		#viio2	#vii	o	2					o7	1	1	-2, 7, 4, 1		7.0	-2.0	0	14	0.0	0.0	4.5	0.0
24	23	0	0	3/2	2	1	V(64)					d	i		V(64)	V			64				M	1	1	3, 2, -1		3.0	3.0	0	4	0.0	0.0	1.125	0.0
24	23	1/4	1/4	3/2	2	1	ii%65					d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4.0	1.0	6	10	0.375	1.5	2.625	0.36363636363636365
24	23	5/4	5/4	3/2	2	1	V7					d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3.0	3.0	0	3	0.0	0.0	0.625	0.0
25	24	0	0	3/2	2	1	i|PAC}				1.0	d	i		i	i					PAC	}	m	1	1	2, -1, 3		2.0	2.0	8	13	0.38095238095238093	1.0	4.625	0.17777777777777778
26	24	0	0	3/2	2	1	i|PAC}				2.0	d	i		i	i					PAC	}	m	1	1	2, -1, 3		2.0	2.0	5	9	0.35714285714285715	0.625	5.0	0.1111111111111111
